book,chapter,chapter_rom,verse,text
Ps,1,I,1,Beatus uir qui non abiit in consilio impiorum et in uia peccatorum non stetit et in cathedra pestilentiae non sedit
Ps,1,I,2,sed in lege Domini fuit uoluntas eius et in lege eius meditabitur die ac nocte
Ps,1,I,3,et erit tamquam lignum quod plantatum est secus decursus aquarum quod fructum suum dabit in tempore suo et folium eius non decidet et omnia quaecumque fecerit prosperabuntur
Ps,1,I,4,non sic impii non sic sed tamquam puluis quem proicit uentus a facie terrae
Ps,1,I,5,ideo non resurgunt impii in iudicio neque peccatores in consilio iustorum
Ps,1,I,6,quoniam nouit Dominus uiam iustorum et iter impiorum peribit.
Ps,2,II,1,PSALMVS DAVID Quare fremuerunt gentes et populi meditati sunt inania
Ps,2,II,2,adstiterunt reges terrae et principes conuenerunt in unum aduersus Dominum et aduersus christum eius
Ps,2,II,3,disrumpamus uincula eorum et proiciamus a nobis iugum ipsorum
Ps,2,II,4,qui habitat in caelis inridebit eos et Dominus subsannabit eos
Ps,2,II,5,tunc loquetur.ad eos in ira sua et in furore suo conturbabit eos
Ps,2,II,6,ego autem constitutus sum rex ab eo super Sion montem sanctum eius praedicans praeceptum Domini
Ps,2,II,7,Dominus dixit ad me filius meus es tu ego hodie genui te
Ps,2,II,8,postula a me et dabo tibi gentes hereditatem tuam et possessionem tuam terminos terrae
Ps,2,II,9,reges eos in uirga ferrea et tamquam uas figuli confringes eos
Ps,2,II,10,et nunc reges intellegite erudimini omnes qui iudicatis terram
Ps,2,II,11,seruite Domino in timore et exultate ei cum tremore
Ps,2,II,12,adprehendite disciplinam nequando irascatur Dominus et pereatis de uia iusta
Ps,2,II,13,cum exarserit in breui ira eius beati omnes qui confidunt in eum.
Ps,3,III,1,PSALMVS DAVID CVM FVGERET A FACIE ABESSALON FILII SVI
Ps,3,III,2,Domine quid multiplicati sunt qui tribulant me multi insurgunt aduersum me
Ps,3,III,3,multi dicunt animae meae non est salus illi in Deo eius
Ps,3,III,4,tu autem Domine susceptor meus es gloria mea et exaltans caput meum
Ps,3,III,5,uoce mea ad Dominum clamaui et exaudiuit me de monte sancto suo
Ps,3,III,6,ego dormiui et somnum cepi et resurrexi quoniam Dominus suscepit me
Ps,3,III,7,non timebo milia populi circumdantis me exsurge Domine saluum me fac Deus meus
Ps,3,III,8,quoniam tu percussisti omnes aduersantes mihi sine causa dentes peccatorum conteruisti
Ps,3,III,9,Domini est salus et super populum tuum benedictio tua.
Ps,4,IV,1,IN FINEM PSALMVS CANTICI DAVID
Ps,4,IV,2,Cum inuocarem te exaudisti me Deus iustitiae meae in tribulatione dilatasti me miserere mihi Domine et exaudi orationem meam
Ps,4,IV,3,fili hominum usquequo graues corde ut quid diligitis uanitatem et quaeritis mendacium
Ps,4,IV,4,scitote quoniam magnificauit Dominus sanctum suum Dominus exaudiuit me dum clamarem ad eum
Ps,4,IV,5,irascimini et nolite peccare quae dicitis in cordibus uestris et in cubilibus uestris conpungimini
Ps,4,IV,6,sacrificate sacrificium iustitiae et sperate in Domino multi dicunt quis ostendit nobis bona
Ps,4,IV,7,signatum est super nos lumen uultus tui Domine dedisti laetitiam in corde meo
Ps,4,IV,8,a tempore frumenti uini et olei sui multiplicati sunt
Ps,4,IV,9,in pace in idipsum obdormiam et requiescam
Ps,4,IV,10,quoniam tu Domine singulariter in spe constituisti me.
Ps,5,V,1,IN FINEM PRO EA QVAE HEREDITATEM CONSEQVITVR PSALMVS DAVID
Ps,5,V,2,Verba mea auribus percipe Domine intellege clamorem meum
Ps,5,V,3,intende uoci orationis meae rex meus et Deus meus
Ps,5,V,4,quoniam ad te orabo Domine mane et exaudies uocem meam
Ps,5,V,5,mane adstabo tibi et uidebo quoniam non uolens deus iniquitatem tu es
Ps,5,V,6,non habitabit iuxta te malignus neque permanebunt iniusti ante oculos tuos
Ps,5,V,7,odisti Domine omnes qui operantur iniquitatem perdes eos qui loquuntur mendacium uirum sanguinum et dolosum abominabitur Dominus
Ps,5,V,8,ego autem in multitudine misericordiae tuae introibo Domine in domum tuam adorabo ad templum sanctum tuum in timore tuo
Ps,5,V,9,deduc me Domine in tua iustitia propter inimicos meos dirige in conspectu tuo uiam meam
Ps,5,V,10,quoniam non est in ore eorum ueritas cor eorum uanum est
Ps,5,V,11,sepulchrum patens est guttur eorum linguis suis dolose agebant iudica illos Deus decidant a cogitationibus suis secundum multitudinem impietatum eorum expelle eos quoniam exacerbauerunt te Domine
Ps,5,V,12,et laetentur omnes qui sperant in te in aeternum exultabunt et inhabitabis in eis et gloriabuntur in te omnes qui diligunt nomen tuum
Ps,5,V,13,quoniam tu Domine benedices iustum Domine ut scuto bonae uoluntatis tuae coronasti nos.
Ps,6,VI,1,IN FINEM IN HYMNIS PRO OCTAVA PSALMVS DAVID
Ps,6,VI,2,Domine ne in ira tua arguas me neque in furore tuo corripias me
Ps,6,VI,3,miserere mihi Domine quoniam infirmus sum sana me Domine quoniam conturbata sunt omnia ossa mea.
Ps,6,VI,4,et anima mea turbata est ualde et tu Domine usquequo
Ps,6,VI,5,conuertere et eripe animam meam saluum me fac propter misericordiam tuam
Ps,6,VI,6,quoniam non est in morte qui memor sit tul in inferno autem quis confitebitur tibi
Ps,6,VI,7,laboraui in gemitu meo lauabo per singulas noctes lectum meum lacrimis stratum meum rigabo
Ps,6,VI,8,turbatus est prae ira oculus meus inueteraui inter omnes inimicos meos
Ps,6,VI,9,discedite me omnes qui operamini iniquitatem quoniam exaudiuit Dominus uocem fletus mei
Ps,6,VI,10,exaudiuit Dominus deprecationem meam Dominus orationem meam adsumpsit
Ps,6,VI,11,erubescant et conturbentur omnes inimici mei auertantur retrorsum et erubescant ualde uelociter.
Ps,7,VII,1,PSALMVS DAVID QVEM CANTAVIT DOMINO PRO VERBIS CHVSI FILII IEMINI
Ps,7,VII,2,Domine Deus meus in te speraui libera me ab omnibus persequentibus me et eripe me
Ps,7,VII,3,nequando rapiat ut leo animam meam dum non est qui redimat neque qui saluum faciat
Ps,7,VII,4,Domine Deus meus si feci istud si est iniquitas in manibus meis
Ps,7,VII,5,si reddidi retribuentibus mihi mala decidam merito ab inimicis meis inanis
Ps,7,VII,6,persequatur . inimicus animam meam et conprehendat eam et conculcet in terra uitam meam et gloriam meam in puluerem deducat
Ps,7,VII,7,exsurge Domine in ira tua et exaltare in finibus inimicorum tuorum exsurge Domine Deus meus in praecepto quod mandasti
Ps,7,VII,8,et synagoga populorum circumdabit te et propter hanc in altum regredere
Ps,7,VII,9,Domine iudica populos iudica me Domine secundum iustitiam meam et secundum innocentiam manuum mearum super me
Ps,7,VII,10,consummetur nequitia peccatorum et dirige iustum scrutans corda et renes Deus
Ps,7,VII,11,iustum adiutorium meum a Domino qui saluos facit rectos corde
Ps,7,VII,12,Deus iudex iustus fortis et longanimis numquid irascitur per singulos dies
Ps,7,VII,13,nisi conuertamini gladium suum uibrauit arcum suum tetendit et parauit illum
Ps,7,VII,14,et in ipso parauit uasa mortis sagittas suas ardentibus effecit
Ps,7,VII,15,ecce parturit iniustitiam concepit dolorem et peperit iniquitatem
Ps,7,VII,16,lacum aperuit et effodit eum et incidit in foueam quam fecit
Ps,7,VII,17,conuertetur dolor eius in capite eius et in uertice eius iniquitas eius descendet
Ps,7,VII,18,confitebor Domino secundum iustiam eius et psallam nomini Domini altissimi.
Ps,8,VIII,1,IN FINEM PRO TORCULARIBVS PSALMVS DAVID
